nid,x_mm,y_mm,z_mm,ix,iy,iz
190,-102.5,10.416666666666666,1.0,2,11,4
191,-102.5,12.5,-1.0,2,12,0
192,-102.5,12.5,-0.5,2,12,1
193,-102.5,12.5,0.0,2,12,2
194,-102.5,12.5,0.5,2,12,3
195,-102.5,12.5,1.0,2,12,4
196,-100.0,-12.5,-1.0,3,0,0
197,-100.0,-12.5,-0.5,3,0,1
198,-100.0,-12.5,0.0,3,0,2
199,-100.0,-12.5,0.5,3,0,3
200,-100.0,-12.5,1.0,3,0,4
201,-100.0,-10.416666666666668,-1.0,3,1,0
202,-100.0,-10.416666666666668,-0.5,3,1,1
203,-100.0,-10.416666666666668,0.0,3,1,2
204,-100.0,-10.416666666666668,0.5,3,1,3
205,-100.0,-10.416666666666668,1.0,3,1,4
206,-100.0,-8.333333333333334,-1.0,3,2,0
207,-100.0,-8.333333333333334,-0.5,3,2,1
208,-100.0,-8.333333333333334,0.0,3,2,2
209,-100.0,-8.333333333333334,0.5,3,2,3
210,-100.0,-8.333333333333334,1.0,3,2,4
211,-100.0,-6.25,-1.0,3,3,0
212,-100.0,-6.25,-0.5,3,3,1
213,-100.0,-6.25,0.0,3,3,2
214,-100.0,-6.25,0.5,3,3,3
215,-100.0,-6.25,1.0,3,3,4
216,-100.0,-4.166666666666667,-1.0,3,4,0
217,-100.0,-4.166666666666667,-0.5,3,4,1
218,-100.0,-4.166666666666667,0.0,3,4,2
219,-100.0,-4.166666666666667,0.5,3,4,3
220,-100.0,-4.166666666666667,1.0,3,4,4
221,-100.0,-2.0833333333333344,-1.0,3,5,0
222,-100.0,-2.0833333333333344,-0.5,3,5,1
223,-100.0,-2.0833333333333344,0.0,3,5,2
224,-100.0,-2.0833333333333344,0.5,3,5,3
225,-100.0,-2.0833333333333344,1.0,3,5,4
226,-100.0,0.0,-1.0,3,6,0
227,-100.0,0.0,-0.5,3,6,1
228,-100.0,0.0,0.0,3,6,2
229,-100.0,0.0,0.5,3,6,3
230,-100.0,0.0,1.0,3,6,4
231,-100.0,2.0833333333333313,-1.0,3,7,0
232,-100.0,2.0833333333333313,-0.5,3,7,1
233,-100.0,2.0833333333333313,0.0,3,7,2
234,-100.0,2.0833333333333313,0.5,3,7,3
235,-100.0,2.0833333333333313,1.0,3,7,4
236,-100.0,4.166666666666666,-1.0,3,8,0
237,-100.0,4.166666666666666,-0.5,3,8,1
238,-100.0,4.166666666666666,0.0,3,8,2
239,-100.0,4.166666666666666,0.5,3,8,3
240,-100.0,4.166666666666666,1.0,3,8,4
241,-100.0,6.25,-1.0,3,9,0
242,-100.0,6.25,-0.5,3,9,1
243,-100.0,6.25,0.0,3,9,2
244,-100.0,6.25,0.5,3,9,3
245,-100.0,6.25,1.0,3,9,4
246,-100.0,8.333333333333332,-1.0,3,10,0
247,-100.0,8.333333333333332,-0.5,3,10,1
248,-100.0,8.333333333333332,0.0,3,10,2
249,-100.0,8.333333333333332,0.5,3,10,3
250,-100.0,8.333333333333332,1.0,3,10,4
251,-100.0,10.416666666666666,-1.0,3,11,0
252,-100.0,10.416666666666666,-0.5,3,11,1
253,-100.0,10.416666666666666,0.0,3,11,2
254,-100.0,10.416666666666666,0.5,3,11,3
255,-100.0,10.416666666666666,1.0,3,11,4
256,-100.0,12.5,-1.0,3,12,0
257,-100.0,12.5,-0.5,3,12,1
258,-100.0,12.5,0.0,3,12,2
259,-100.0,12.5,0.5,3,12,3
260,-100.0,12.5,1.0,3,12,4
261,-97.5,-12.5,-1.0,4,0,0
262,-97.5,-12.5,-0.5,4,0,1
263,-97.5,-12.5,0.0,4,0,2
264,-97.5,-12.5,0.5,4,0,3
265,-97.5,-12.5,1.0,4,0,4
266,-97.5,-10.416666666666668,-1.0,4,1,0
267,-97.5,-10.416666666666668,-0.5,4,1,1
268,-97.5,-10.416666666666668,0.0,4,1,2
269,-97.5,-10.416666666666668,0.5,4,1,3
270,-97.5,-10.416666666666668,1.0,4,1,4
271,-97.5,-8.333333333333334,-1.0,4,2,0
272,-97.5,-8.333333333333334,-0.5,4,2,1
273,-97.5,-8.333333333333334,0.0,4,2,2
274,-97.5,-8.333333333333334,0.5,4,2,3
275,-97.5,-8.333333333333334,1.0,4,2,4
276,-97.5,-6.25,-1.0,4,3,0
