engineering_strain_fraction,engineering_strain_percent,engineering_stress_MPa,true_strain,true_stress_MPa,plastic_strain
0.07245,7.245,480.864,0.0699457506866668,515.7025967999999,0.06749002403523822
0.072597,7.2597,480.9455,0.07008281062076624,515.8607004634999,0.06762633109474957
0.072752,7.2752,480.9994,0.07022730925503945,515.9930683488,0.06777019940575944
0.07291,7.291,481.0704,0.07037458315026208,516.145242864,0.06791674866043351
0.073062,7.3062000000000005,481.148,0.07051624389910148,516.301635176,0.06805766468397767
0.073215,7.3215,481.2151,0.0706588163631955,516.4472635465,0.06819954367964073
0.073372,7.337200000000001,481.2913,0.07080509508404861,516.6046052636,0.06834507315422195
0.07352,7.352,481.3453,0.0709429688105653,516.733806456,0.06848233163696531
0.073672,7.3672,481.4136,0.07108454907004272,516.8803027391999,0.06862321429509415
0.073825,7.3825,481.4636,0.07122704053825792,517.00765027,0.06876509934649601
0.073975,7.3975,481.5346,0.07136671834833695,517.156122035,0.06890407014817028
0.074132,7.413200000000001,481.5807,0.07151289356240176,517.2812404524,0.06904964956024748
0.074295,7.4295,481.6517,0.07166463248610058,517.4360130515,0.06920065147156963
0.074445,7.4445,481.72,0.0718042491919316,517.5816454000001,0.06933957469002683
0.074592,7.459200000000001,481.7832,0.07194105465431244,517.7203724544,0.06947571954738672
0.07475,7.475,481.8371,0.07208807639425387,517.8544232250001,0.0696221029503253
0.074905,7.4905,481.9041,0.07223228558155939,518.0011266105,0.06976561355008082
0.075057,7.5057,481.9765,0.07237368342975693,518.1522101605,0.06990629195280217
0.075207,7.5207,482.0357,0.07251320118222204,518.2881588899,0.07004516233036538
0.075355,7.535500000000001,482.1159,0.0726508396229958,518.4457436445,0.07018205036754581
0.07551000000000001,7.551000000000001,482.179,0.07279496768335135,518.5883362899999,0.07032549941530374
0.075672,7.567200000000001,482.2382,0.07294558255490219,518.7301290704,0.07047543908313839
0.075827,7.582700000000001,482.296,0.07308966814385033,518.8670587920001,0.0706188726257932
0.075977,7.597700000000001,482.3591,0.07322908604645016,519.0072973407,0.07075762272578016
0.076132,7.613200000000001,482.4183,0.07337313079536205,519.1457700156001,0.07090100808100205
0.076282,7.6282000000000005,482.463,0.07351250918654778,519.266242566,0.07103981279337636
0.07644000000000001,7.644000000000001,482.5262,0.07365930008689044,519.4105027280001,0.07118591674056662
0.07659500000000001,7.659500000000001,482.5893,0.07380328288351731,519.5532274335,0.07132921989573875
0.07675,7.675,482.6616,0.07394724495208291,519.7058778,0.07147245505779719
0.076902,7.6902,482.7195,0.07408840053362754,519.841594989,0.07161296436701325
0.077055,7.7055,482.797,0.07423046465120958,519.998922835,0.07175427930437625
0.07721,7.721,482.8602,0.07437436523936143,520.141836042,0.07189749935344715
0.077362,7.7362,482.9141,0.07451546054761955,520.2733006042,0.0720379686399805
0.07752200000000001,7.752200000000001,482.9588,0.07466396042073944,520.3987320936001,0.07218587122029373
0.077675,7.767499999999999,483.0127,0.07480594280124295,520.5307114725,0.07232722512756437
0.07782700000000001,7.782700000000001,483.0666,0.07494697723336313,520.6622242782,0.07246763330822885
0.077982,7.7982,483.1205,0.07509077475927298,520.795202831,0.07261079760293489
0.078137,7.8137,483.1889,0.0752345516104273,520.9438310792999,0.07275386670052587
0.078292,7.8292,483.252,0.07537830779277037,521.086765584,0.07289694224237037
0.078445,7.8445,483.2968,0.07552018879194335,521.2090174760001,0.07303824108967667
0.078597,7.8597,483.3559,0.07566112253384692,521.3462236723001,0.07317852146874074
0.07875,7.875,483.4177,0.07580296341550065,521.4868438750001,0.0733196927303816
0.078902,7.8902,483.4677,0.07594385731335948,521.6142684654,0.07345997984447662
0.079057,7.9057,483.5308,0.07608751157209799,521.7572944556,0.07360295302707133
0.07922,7.922,483.5992,0.07623855798579734,521.909928624,0.07375327261139734
0.079372,7.9372,483.6571,0.07637939052872461,522.0459313412,0.07389345752233795
0.07953,7.953,483.7294,0.07652576123038879,522.2003991820001,0.07403909266285545
0.079682,7.9682,483.7741,0.07666655333440738,522.3221878362,0.07417930482090167
0.079832,7.9832,483.8188,0.0768054734805525,522.4430224416,0.07431764956416392
0.079987,7.9987,483.8688,0.07694900402664558,522.5720137056,0.07446056586614272
0.080147,8.0147,483.9188,0.0770971429849626,522.7034400635999,0.07460807898465975
0.08030699999999999,8.0307,483.9543,0.07724526000137907,522.8192179701,0.07475564467771192
0.080452,8.0452,484.0082,0.07737947210019959,522.9476277064,0.07488924530159768
0.080615,8.0615,484.0713,0.07753032350860953,523.0947078495001,0.07503939632837381
0.08076,8.076,484.1213,0.07766449735647722,523.218936188,0.07517297861272484
0.080905,8.0905,484.1936,0.0777986532041386,523.367283208,0.07530642804600526
0.081065,8.1065,484.2475,0.07794666635907795,523.5030235875,0.0754537948181851
0.08123200000000001,8.1232,484.3106,0.07810113172653863,523.6521186592,0.07560755020911386
0.0814,8.14,484.3645,0.07825649796576742,523.7917702999999,0.07576225144052932
0.08155699999999999,8.1557,484.4369,0.0784016695991154,523.9461202533,0.07590668807409968
0.081697,8.1697,484.4684,0.07853110423803943,524.0480148748,0.07603563750054038
0.08185,8.185,484.5223,0.07867253865130157,524.180450255,0.0761764412691349
0.08201,8.201,484.5723,0.07882042252575888,524.3120743229999,0.07632369836231602
0.082165,8.2165,484.621,0.07896366417697935,524.439884465,0.07646633139381269
0.08231999999999999,8.232,484.667,0.07910688531296775,524.5647874399999,0.07660895775372965
0.08247199999999999,8.2472,484.7157,0.07924731450916747,524.6911732104,0.07674878511292747
0.08263,8.263,484.7748,0.07939326606274831,524.831741724,0.07689406729263402
0.08279,8.279,484.8235,0.07954104339951547,524.962037565,0.07704122417301547
0.082947,8.2947,484.8827,0.07968602868653327,525.1022653169,0.07718554170883374
