?-tech [MPa]	?-technisch [%]
453.8535	3.6857
454.0205	3.6997
454.2191	3.714
454.4032	3.7285
454.5833	3.7437
454.7543	3.7582
454.9252	3.7727
455.1015	3.7867
455.2632	3.8005
455.4434	3.8152
455.6064	3.8297
455.7866	3.8445
455.9352	3.8587
456.1193	3.8735
456.2823	3.8875
456.4572	3.9015
456.6334	3.9172
456.8136	3.9322
456.9714	3.9472
457.1292	3.962
457.287	3.9767
457.4264	3.9907
457.5842	4.0045
457.742	4.0195
457.8853	4.0342
458.0431	4.0497
458.2102	4.0645
458.3719	4.0782
458.5297	4.0922
458.7151	4.107
458.8729	4.1217
459.0347	4.137
459.1793	4.1525
459.3319	4.167
459.4713	4.181
459.6199	4.1957
459.7737	4.2095
459.9184	4.224
460.0617	4.24
460.2195	4.254
460.3865	4.2685
460.5259	4.2835
460.7021	4.2982
460.8547	4.313
461.0033	4.3277
461.1387	4.3422
461.2781	4.3565
461.4043	4.3722
461.5437	4.387
461.6936	4.4012
461.8238	4.4155
461.9632	4.4292
462.1171	4.4445
462.2696	4.4595
462.4051	4.4742
462.5537	4.4892
462.7115	4.5037
462.8469	4.5175
462.9902	4.532
463.1165	4.5475
463.2559	4.563
463.3782	4.5772
463.5136	4.5922
463.6346	4.607
463.7793	4.6212
463.9055	4.6357
464.0488	4.6507
464.1843	4.6652
464.3329	4.6797
464.4683	4.695
464.6038	4.7095
464.7471	4.724
464.8733	4.7392
464.9956	4.7542
465.1166	4.7692
465.2613	4.7837
465.3783	4.7975
465.5138	4.8112
465.6439	4.827
465.761	4.842
465.8964	4.8567
466.0227	4.8725
466.1529	4.8867
466.2752	4.9015
466.4106	4.9165
466.5316	4.931
466.6486	4.946
466.7657	4.9612
466.8972	4.9755
467.0273	4.9902
467.1312	5.0052
467.2614	5.0197
467.3837	5.0345
467.4955	5.0497
467.6217	5.064
467.7572	5.0785
467.8834	5.0937
468.0005	5.1087
468.1359	5.1245
468.2398	5.1395
468.3437	5.1535
468.4515	5.1677
468.5725	5.1827
468.6724	5.1982
468.7934	5.2132
468.9157	5.2282
469.0235	5.2425
469.1406	5.257
469.2537	5.2717
469.3799	5.287
469.4917	5.302
469.614	5.3167
469.731	5.3307
469.8428	5.3442
469.9467	5.3587
470.0506	5.375
470.1637	5.391
470.2531	5.4072
470.3662	5.4217
470.4701	5.4345
470.5871	5.449
470.691	5.465
470.8212	5.481
470.9251	5.4972
471.0421	5.5112
471.1591	5.5245
471.2538	5.54
471.3485	5.5555
471.4471	5.5702
471.555	5.586
471.6365	5.6005
471.7443	5.6145
471.8443	5.6297
471.9613	5.6445
472.0652	5.6585
472.1822	5.6745
472.3085	5.69
472.411	5.705
472.5202	5.7202
472.6004	5.734
472.6951	5.7485
472.7766	5.7642
472.8805	5.779
472.9699	5.7937
473.0646	5.809
473.1685	5.8237
473.2671	5.8385
473.371	5.8542
473.4657	5.8687
473.5788	5.8827
473.6682	5.8982
473.7813	5.9137
473.8668	5.9295
473.9522	5.9447
474.0377	5.959
474.1324	5.9737
474.2179	5.9887
474.3086	6.0032
474.4164	6.019
474.5203	6.0335
474.6282	6.0485
474.7044	6.064
474.8123	6.0787
474.899	6.0935
474.9793	6.109
475.0647	6.124
475.1555	6.1387
475.2317	6.1542
475.3133	6.169
475.4119	6.1842
475.4974	6.1997
475.5881	6.2142
475.6775	6.229
475.7722	6.2442
475.8577	6.259
475.9392	6.2742
476.0471	6.2895
476.1417	6.3042
476.2364	6.3192
476.3219	6.3342
476.4074	6.3495
476.4705	6.3647
476.552	6.3795
476.6336	6.3945
476.7098	6.4092
476.7953	6.4247
476.8808	6.4402
476.9715	6.4555
477.057	6.47
477.1425	6.4847
477.2279	6.5005
477.3174	6.5157
477.3897	6.5307
477.462	6.5462
477.5383	6.561
477.6067	6.5757
477.6961	6.5912
477.7684	6.6057
477.8539	6.6207
477.9354	6.636
478.0301	6.6507
478.1024	6.666
478.1971	6.682
478.2734	6.6972
478.3628	6.712
478.4443	6.7272
478.5035	6.7422
478.5745	6.7572
478.6429	6.7725
478.706	6.7877
478.7691	6.8037
478.8454	6.8187
478.9125	6.8335
478.998	6.8482
479.0847	6.8632
479.165	6.8782
479.2596	6.8945
479.332	6.9092
479.4214	6.9247
479.4845	6.9405
479.5529	6.9557
479.6108	6.9707
479.6923	6.9855
479.7462	7.0002
479.8093	7.015
479.8909	7.0312
479.9632	7.0462
480.0342	7.0617
480.1118	7.0772
480.1973	7.0922
480.2551	7.1072
480.3366	7.123
480.3998	7.1382
480.4537	7.1532
480.5129	7.169
480.576	7.184
480.6523	7.199
480.7101	7.2142
480.7877	7.2292
480.864	7.245
480.9455	7.2597
480.9994	7.2752
481.0704	7.291
481.148	7.3062
481.2151	7.3215
481.2913	7.3372
481.3453	7.352
481.4136	7.3672
481.4636	7.3825
481.5346	7.3975
481.5807	7.4132
481.6517	7.4295
481.72	7.4445
481.7832	7.4592
481.8371	7.475
481.9041	7.4905
481.9765	7.5057
482.0357	7.5207
482.1159	7.5355
482.179	7.551
482.2382	7.5672
482.296	7.5827
482.3591	7.5977
482.4183	7.6132
482.463	7.6282
482.5262	7.644
482.5893	7.6595
482.6616	7.675
482.7195	7.6902
482.797	7.7055
482.8602	7.721
482.9141	7.7362
482.9588	7.7522
483.0127	7.7675
483.0666	7.7827
483.1205	7.7982
483.1889	7.8137
483.252	7.8292
483.2968	7.8445
483.3559	7.8597
483.4177	7.875
483.4677	7.8902
483.5308	7.9057
483.5992	7.922
483.6571	7.9372
483.7294	7.953
483.7741	7.9682
483.8188	7.9832
483.8688	7.9987
483.9188	8.0147
483.9543	8.0307
484.0082	8.0452
484.0713	8.0615
484.1213	8.076
484.1936	8.0905
484.2475	8.1065
484.3106	8.1232
484.3645	8.14
484.4369	8.1557
484.4684	8.1697
484.5223	8.185
484.5723	8.201
484.621	8.2165
484.667	8.232
484.7157	8.2472
484.7748	8.263
484.8235	8.279
484.8827	8.2947
484.9326	8.31
485.0036	8.326
485.0352	8.3417
485.0983	8.357
485.1351	8.373
485.1759	8.388
485.2167	8.4037
485.2706	8.4195
485.31	8.4345
485.3561	8.4502
485.4139	8.4665
485.46	8.482
485.5139	8.497
485.5625	8.5125
485.6217	8.528
485.6848	8.544
485.7203	8.56
485.7835	8.5757
485.8203	8.5915
485.8597	8.607
485.8781	8.6225
485.9413	8.6377
485.9728	8.6535
486.0267	8.6695
486.0767	8.6852
486.1214	8.7005
486.1806	8.7162
486.2214	8.7322
486.2792	8.7482
486.32	8.764
486.3831	8.7797
486.4147	8.795
486.4646	8.8107
486.4909	8.8272
486.5356	8.843
486.5817	8.8585
486.6172	8.8735
486.6527	8.8895
486.7079	8.9057
486.7618	8.9215
486.7973	8.9372
486.8473	8.953
486.9012	8.9685
486.9328	8.984
486.9775	9
487.0143	9.0157
487.0538	9.0317
487.0814	9.047
487.1313	9.0632
487.1669	9.0797
487.2024	9.095
487.2431	9.1102
487.2931	9.1262
487.3431	9.1415
487.3694	9.1572
487.4233	9.174
487.464	9.19
487.518	9.206
487.5456	9.2217
487.5955	9.2375
487.6179	9.2535
487.6442	9.269
487.6666	9.2845
487.7034	9.301
487.7257	9.3167
487.7757	9.332
487.8336	9.3487
487.8651	9.3645
487.919	9.3802
487.9638	9.3957
488.0137	9.412
488.0413	9.4282
488.086	9.4447
488.1084	9.4615
488.1492	9.4772
488.1807	9.4922
488.2123	9.5077
488.2478	9.5242
488.2794	9.54
488.3333	9.5555
488.3648	9.5715
488.4109	9.588
488.4516	9.6042
488.4871	9.6202
488.5134	9.636
488.541	9.6517
488.5726	9.6677
488.6002	9.6842
488.6397	9.7007
488.6633	9.7167
488.7081	9.7325
488.7344	9.7487
488.7659	9.764
488.8067	9.7797
488.8474	9.7957
488.8829	9.8125
488.9198	9.829
488.9645	9.845
488.9868	9.861
489.0184	9.878
489.0408	9.8942
489.0776	9.9095
489.1039	9.9255
489.1262	9.9412
489.1578	9.9572
489.1762	9.9735
489.2209	9.9897
489.2446	10.0055
489.2985	10.0212
489.3248	10.038
489.3748	10.0542
489.3971	10.0705
489.4326	10.087
489.4471	10.104
489.4734	10.1192
489.505	10.135
489.5234	10.151
489.5549	10.1672
489.5812	10.183
489.6312	10.1992
489.668	10.2152
489.7075	10.232
489.739	10.249
489.7758	10.2652
489.789	10.2817
489.8074	10.2977
489.8298	10.314
489.839	10.3302
489.8705	10.3462
489.8929	10.3625
489.9192	10.378
489.956	10.394
489.9915	10.4105
490.0231	10.428
490.0599	10.4432
490.1046	10.459
490.1138	10.4755
490.1546	10.4927
490.1677	10.5095
490.1901	10.5252
490.194	10.541
490.2308	10.5572
490.2532	10.5735
490.2756	10.5897
490.3032	10.6065
490.3295	10.6222
490.361	10.6387
490.3794	10.6552
490.4294	10.6715
490.4465	10.688
490.4833	10.7047
490.5149	10.7212
490.5372	10.7377
490.5412	10.754
490.5688	10.7705
490.6004	10.7877
490.6043	10.8037
490.6319	10.8197
490.6543	10.8357
490.6858	10.8522
490.699	10.8682
490.7305	10.8847
490.7621	10.9015
490.8029	10.9185
490.8292	10.9347
490.8292	10.9517
490.8436	10.9687
490.8476	10.9847
490.866	11.0007
490.8844	11.0175
490.9068	11.0335
490.9423	11.0502
490.9699	11.0667
490.9962	11.0827
491.0054	11.0992
491.0501	11.116
491.0646	11.1322
491.0961	11.1492
491.1093	11.1665
491.1277	11.1827
491.1316	11.1992
491.15	11.2147
491.1816	11.2302
491.1948	11.249
491.2263	11.267
491.2487	11.281
491.2894	11.2967
491.2986	11.3135
491.3302	11.331
491.3618	11.349
491.3841	11.3647
491.3973	11.3805
491.4065	11.3975
491.4157	11.4145
491.4157	11.4312
491.442	11.4485
491.4472	11.4647
491.4788	11.4815
491.4919	11.4982
491.5288	11.5145
491.5459	11.5317
491.5774	11.5487
491.5958	11.566
491.6182	11.5822
491.6274	11.5987
491.6313	11.6152
491.6405	11.6325
491.6497	11.6495
491.6682	11.6655
491.6774	11.6817
491.7037	11.6982
491.7221	11.715
491.7313	11.7317
491.7576	11.749
491.7852	11.7655
491.8075	11.782
491.826	11.7992
491.8615	11.817
491.8667	11.8337
491.8746	11.8502
491.8799	11.8667
491.893	11.883
491.9062	11.9005
491.9206	11.9172
491.9377	11.9337
491.9654	11.9512
491.9838	11.9682
491.9969	11.9847
492.0193	12.002
492.0377	12.0187
492.0469	12.035
492.06	12.0517
492.064	12.069
492.0784	12.0865
492.0784	12.1032
492.0955	12.1205
492.11	12.1375
492.1232	12.154
492.1324	12.1707
492.1679	12.1875
492.181	12.2045
492.1902	12.2212
492.2178	12.2377
492.2402	12.255
492.2441	12.2732
492.2441	12.2907
492.2625	12.3075
492.2625	12.3245
492.2665	12.341
492.2757	12.358
492.2902	12.3752
492.2981	12.392
492.3125	12.4087
492.3296	12.4262
492.3349	12.4435
492.3704	12.4607
492.3848	12.4772
492.4072	12.4945
492.4111	12.5115
492.4203	12.5285
492.4111	12.5457
492.4164	12.563
492.4296	12.5802
492.4296	12.5972
492.4466	12.6142
492.4611	12.631
492.4874	12.6487
492.4874	12.6667
492.5098	12.6832
492.519	12.7
492.5334	12.717
492.5505	12.7345
492.5505	12.7517
492.565	12.769
492.5781	12.786
492.5913	12.8032
492.5729	12.8207
492.5966	12.8385
492.5913	12.856
492.6097	12.8735
492.6137	12.8907
492.6189	12.9077
492.636	12.9252
492.6544	12.942
492.6544	12.959
492.6636	12.9762
492.6768	12.9942
492.6636	13.0122
492.6728	13.029
492.682	13.0457
492.682	13.0625
492.6952	13.08
492.7083	13.0972
492.7307	13.1147
492.7307	13.1317
492.7583	13.1497
492.7715	13.167
492.7899	13.1845
492.7807	13.203
492.7899	13.2207
492.7846	13.2387
492.7846	13.2557
492.7938	13.2732
492.7991	13.2905
492.8083	13.3075
492.8083	13.3252
492.8254	13.3427
492.8254	13.3595
492.8346	13.3775
492.8569	13.3955
492.8569	13.4127
492.8661	13.4305
492.8714	13.4477
492.8753	13.4655
492.8622	13.4832
492.8845	13.5012
492.8845	13.5187
492.8845	13.535
492.8885	13.553
492.8938	13.5712
492.903	13.589
492.903	13.606
492.9201	13.624
492.9253	13.642
492.9424	13.6595
492.9345	13.6777
492.9424	13.6955
492.9345	13.7127
492.9385	13.7295
492.9385	13.7475
492.9385	13.766
492.9385	13.7835
492.9385	13.8007
492.9516	13.8182
492.9569	13.836
492.9792	13.8545
492.974	13.8722
492.9976	13.89
493.0016	13.9075
492.9976	13.9252
492.9832	13.9437
492.9976	13.9615
492.9976	13.9795
492.9884	13.997
492.9924	14.0152
492.9976	14.033
492.9976	14.0507
493.0016	14.0687
493.0108	14.087
493.0239	14.1045
493.0279	14.1225
493.0331	14.1407
493.0239	14.1585
493.0239	14.1765
493.0108	14.1942
493.02	14.212
493.0239	14.2302
493.02	14.2485
493.02	14.2662
493.0331	14.2837
493.0371	14.302
493.0331	14.32
493.0516	14.3382
493.0516	14.356
493.0555	14.374
493.0516	14.3917
493.0463	14.4102
493.0424	14.429
493.0463	14.447
493.0463	14.4647
493.0331	14.4822
493.0371	14.501
493.0239	14.5195
493.0371	14.5377
493.0371	14.556
493.0516	14.5742
493.0555	14.592
493.0739	14.6102
493.0594	14.629
493.0555	14.6467
